"ATC","Estimate","Class_Median","Non_Class_Median","P","N","Name","Panel","P.FDR","P.FDR_all"
"R03B",1045.50001313041,-0.0321789626775537,-0.00161843857916638,2.95742562538773e-05,45,"other drugs for obstructive airway diseases, inhalants","Brain_Substantia_nigra",0.00193711378462896,0.00245367746053002
"D07A",620.499994459268,-0.0153045327786276,-0.0014823406662626,6.61369146165956e-05,121,"corticosteroids, plain","Brain_Substantia_nigra",0.0024751060926074,0.0047032794423059
"A11C",1325.4999623317,-0.03718143476069,-0.00161843857916638,7.55757585528977e-05,25,"vitamin a and d, incl. combinations of the two","Brain_Substantia_nigra",0.0024751060926074,0.00508400170373412
"R01A",613.000035841966,-0.0129733847506935,-0.00159821647788899,0.000317843423737432,94,"decongestants and other nasal preparations for topical use","Brain_Substantia_nigra",0.00832749770192072,0.0164815058683848
"D07A",814.499982492821,-0.00769101137151622,0.00294114087151992,2.21269529768801e-07,121,"corticosteroids, plain","CMC.BRAIN.RNASEQ",2.89863083997129e-05,5.00672599631405e-05
"R03B",1251.5000081128,-0.0127389609391964,0.0028178385056675,7.47311728647594e-07,45,"other drugs for obstructive airway diseases, inhalants","CMC.BRAIN.RNASEQ",4.89489182264174e-05,0.000132861349471704
"R01A",848.500035671937,-0.0047301004083551,0.0028761368877795,1.24826255861022e-06,94,"decongestants and other nasal preparations for topical use","CMC.BRAIN.RNASEQ",5.45074650593129e-05,0.000194182844273802
"S01B",796.499961226004,-0.00445667151821358,0.00287244452781471,9.57605480749999e-06,88,"antiinflammatory agents","CMC.BRAIN.RNASEQ",0.000313615794945625,0.00108340001890307
"A07E",1130.99998810833,-0.0103485425040119,0.00278278636693568,0.000177524359514474,32,"intestinal antiinflammatory agents","CMC.BRAIN.RNASEQ",0.00465113821927922,0.0107770275812567
"C05A",701.499986259692,-0.00419504694645532,0.00279763022098024,0.000608201308671423,64,"agents for treatment of hemorrhoids and anal fissures for topical use","CMC.BRAIN.RNASEQ",0.0110131159457381,0.0285625105147768
"L01D",688.500039396931,-0.00745446910138554,0.00285548426932011,0.000663230069622439,67,"cytotoxic antibiotics and related substances","CMC.BRAIN.RNASEQ",0.0110131159457381,0.0298927432812892
"H02A",615.49997412503,-0.00419504694645532,0.00283122404173148,0.000672556698976373,86,"corticosteroids for systemic use, plain","CMC.BRAIN.RNASEQ",0.0110131159457381,0.0298927432812892
"D07X",669.500047814072,-0.00438507848842833,0.00279763022098024,0.00108147989637218,63,"corticosteroids, other combinations","CMC.BRAIN.RNASEQ",0.0157415407138617,0.0427270390804818
"L01X",475.499969267127,-0.0287594385401412,-0.011663614416575,1.66007564570523e-13,864,"other antineoplastic agents","kcl_brainbank_motor_cortex",2.17469909587385e-11,2.06596414108016e-10
"L01E",563.500035317607,-0.0344907524038178,-0.0128946890917698,4.28134127734102e-11,451,"protein kinase inhibitors","kcl_brainbank_motor_cortex",2.80427853665837e-09,2.40337458464697e-08
"C10A",843.999933939906,-0.0587248293967957,-0.0141479473761064,7.23061378817533e-07,102,"lipid modifying agents, plain","kcl_brainbank_motor_cortex",3.15736802083656e-05,0.000132861349471704
"P02D",2223.50006142475,-0.0819722822801273,-0.0144482975403365,9.08146851028474e-06,11,"anticestodals","kcl_brainbank_motor_cortex",0.000297418093711825,0.00107637024390946
"L01C",680.999903434665,-0.0362898665024301,-0.0137738769332441,2.11535831832806e-05,113,"plant alkaloids and other natural products","kcl_brainbank_motor_cortex",0.000554223879401952,0.0020136805498203
"D08A",1288.00006992422,-0.0708738285643661,-0.0144264757034955,3.63073022806057e-05,29,"antiseptics and disinfectants","kcl_brainbank_motor_cortex",0.000792709433126558,0.00291512501214283
"G01A",681.500032748932,-0.0370118706261807,-0.0141830005143808,0.00015422266863812,88,"antiinfectives and antiseptics, excl. combinations with corticosteroids","kcl_brainbank_motor_cortex",0.00288616708451339,0.00959650555600702
"A07A",1280.0000440157,-0.0523196710658299,-0.0144482975403365,0.00117562777887983,18,"intestinal antiinfectives","kcl_brainbank_motor_cortex",0.0192509048791572,0.0451179445580205
"L01D",1323.50001985698,-0.0192019897071834,0.000919307737418109,2.66323212504988e-10,67,"cytotoxic antibiotics and related substances","NTR.BLOOD.RNAARR",3.48883408381534e-08,9.46969251321307e-08
"C10A",822.000016372029,-0.0141957326747757,0.000855426099764738,2.08449865788177e-06,102,"lipid modifying agents, plain","NTR.BLOOD.RNAARR",0.000136534662091256,0.000288239842192651
"L04A",629.000062871403,-0.00139898494640409,0.00283292274646406,1.70907332313966e-05,134,"immunosuppressants","psychencode",0.00223888605331295,0.00177245145887276
"S01X",1070.00001426276,-0.00430701605949473,0.00277845210656319,0.000225509499451649,34,"other ophthalmologicals","psychencode",0.014770872214083,0.0130533289333757
"L01D",1510.50005706993,-0.0124307119260573,0.00156261098528534,5.00851253663818e-13,67,"cytotoxic antibiotics and related substances","Whole_Blood",6.56115142299602e-11,4.15539590123081e-10
"C01A",2189.99996127141,-0.0157351652209787,0.00150502030579066,1.50168217553064e-08,19,"cardiac glycosides","Whole_Blood",9.83601824972569e-07,4.15298548321751e-06
"L01C",795.000056410725,-0.0062261274278012,0.00156261098528534,1.0333845608594e-06,113,"plant alkaloids and other natural products","Whole_Blood",4.51244591575271e-05,0.000171472944798603
"N06B",1702.99995194187,-0.0169847045071649,0.00149501223960123,2.26528970480104e-05,17,"psychostimulants, agents used for adhd and nootropics","Whole_Blood",0.000741882378322341,0.00201368074116064
"H02A",724.999989453807,-0.00317163419347934,0.00151486624369997,6.606514617057e-05,86,"corticosteroids for systemic use, plain","Whole_Blood",0.00173090682966893,0.0047032794423059
"P02C",776.000057932229,-0.00468259225068994,0.00150502030579066,0.000260299772697735,60,"antinematodal agents","Whole_Blood",0.00568321170390055,0.0147246848691969
"A10B",1032.49998718122,-0.00741421824511313,0.00576102591484498,3.95818799584895e-07,72,"blood glucose lowering drugs, excl. insulins","YFS.BLOOD.RNAARR",5.18522627456212e-05,8.20994160139003e-05
"G03C",1083.5000165028,-0.00838558039078387,0.00581221051722627,4.76089622257492e-06,54,"estrogens","YFS.BLOOD.RNAARR",0.000311838702578657,0.000592493534899449
"R03B",807.99992635813,-0.00456428836342272,0.00574875389423632,0.000847487084580958,45,"other drugs for obstructive airway diseases, inhalants","YFS.BLOOD.RNAARR",0.0370069360267018,0.0340225057019678
